tree,Source,n,p
prediction.130,Sheep,147,0.22580645161290322
prediction.131,Beef,173,0.26574500768049153
prediction.131,Poultry,364,0.5591397849462365
prediction.131,Sheep,114,0.17511520737327188
prediction.132,Beef,169,0.25960061443932414
prediction.132,Poultry,384,0.5898617511520737
prediction.132,Sheep,98,0.15053763440860216
prediction.133,Beef,197,0.30261136712749614
prediction.133,Poultry,345,0.5299539170506913
prediction.133,Sheep,109,0.1674347158218126
prediction.134,Beef,183,0.28110599078341014
prediction.134,Poultry,387,0.5944700460829493
prediction.134,Sheep,81,0.12442396313364056
prediction.135,Beef,211,0.3241167434715822
prediction.135,Poultry,314,0.4823348694316436
prediction.135,Sheep,126,0.1935483870967742
prediction.136,Beef,200,0.30721966205837176
prediction.136,Poultry,338,0.5192012288786483
prediction.136,Sheep,113,0.17357910906298002
prediction.137,Beef,175,0.26881720430107525
prediction.137,Poultry,410,0.6298003072196621
prediction.137,Sheep,66,0.10138248847926268
prediction.138,Beef,170,0.261136712749616
prediction.138,Poultry,371,0.5698924731182796
prediction.138,Sheep,110,0.16897081413210446
prediction.139,Beef,143,0.2196620583717358
prediction.139,Poultry,378,0.5806451612903226
prediction.139,Sheep,130,0.19969278033794163
prediction.14,Beef,140,0.21505376344086022
prediction.14,Poultry,405,0.6221198156682027
prediction.14,Sheep,106,0.16282642089093702
prediction.140,Beef,160,0.2457757296466974
prediction.140,Poultry,349,0.5360983102918587
prediction.140,Sheep,142,0.21812596006144394
prediction.141,Beef,189,0.2903225806451613
prediction.141,Poultry,344,0.5284178187403994
prediction.141,Sheep,118,0.18125960061443933
prediction.142,Beef,160,0.2457757296466974
prediction.142,Poultry,416,0.6390168970814132
prediction.142,Sheep,75,0.1152073732718894
prediction.143,Beef,159,0.24423963133640553
prediction.143,Poultry,359,0.5514592933947773
prediction.143,Sheep,133,0.20430107526881722
prediction.144,Beef,124,0.19047619047619047
prediction.144,Poultry,432,0.663594470046083
prediction.144,Sheep,95,0.14592933947772657
prediction.145,Beef,145,0.2227342549923195
prediction.145,Poultry,383,0.5883256528417818
prediction.145,Sheep,123,0.1889400921658986
prediction.146,Beef,167,0.2565284178187404
prediction.146,Poultry,403,0.6190476190476191
prediction.146,Sheep,81,0.12442396313364056
